Data(x=[13752, 767], edge_index=[2, 491722], y=[13752], train_mask=[13752], val_mask=[13752], test_mask=[13752])
Epoch 1, Loss: 2.512063980102539
Epoch 107, Loss: 0.6300449371337891
Epoch 108, Loss: 0.6533843278884888
Epoch 109, Loss: 0.6276123523712158
Epoch 110, Loss: 0.6394303441047668
Epoch 111, Loss: 0.6252864003181458
Epoch 112, Loss: 0.6440338492393494
Epoch 113, Loss: 0.6298710107803345
Epoch 114, Loss: 0.6211514472961426
Epoch 115, Loss: 0.6404340267181396
Epoch 116, Loss: 0.6283785700798035
Epoch 117, Loss: 0.6063471436500549
Epoch 118, Loss: 0.6099771857261658
Epoch 119, Loss: 0.5945308208465576
Epoch 120, Loss: 0.5960642099380493
Epoch 121, Loss: 0.6191882491111755
Epoch 122, Loss: 0.6018393039703369
Epoch 123, Loss: 0.6089181900024414
Epoch 124, Loss: 0.6010532975196838
Epoch 125, Loss: 0.6073431372642517
Epoch 126, Loss: 0.598068118095398
Epoch 127, Loss: 0.5937761664390564
Epoch 128, Loss: 0.5808011293411255
Epoch 129, Loss: 0.5968948602676392
Epoch 130, Loss: 0.574851393699646
Epoch 131, Loss: 0.5797763466835022
Epoch 132, Loss: 0.5962250232696533
Epoch 133, Loss: 0.5841454863548279
Epoch 134, Loss: 0.5793617367744446
Epoch 135, Loss: 0.5776821970939636
Epoch 136, Loss: 0.5722360014915466
Epoch 137, Loss: 0.5826708078384399
Epoch 138, Loss: 0.5718869566917419
Epoch 139, Loss: 0.599580705165863
Epoch 140, Loss: 0.599225640296936
Epoch 141, Loss: 0.5674884915351868
Epoch 142, Loss: 0.5848636627197266
Epoch 143, Loss: 0.5631961226463318
Epoch 144, Loss: 0.5581216216087341
Epoch 145, Loss: 0.5745707154273987
Epoch 146, Loss: 0.5698209404945374
Epoch 147, Loss: 0.5760492086410522
Epoch 148, Loss: 0.5417741537094116
Epoch 149, Loss: 0.5674397349357605
Epoch 150, Loss: 0.5413166284561157
Epoch 151, Loss: 0.565750777721405
Epoch 152, Loss: 0.555059552192688
Epoch 153, Loss: 0.5444559454917908
Epoch 154, Loss: 0.575816810131073
Epoch 155, Loss: 0.5455700755119324
Epoch 156, Loss: 0.5463981628417969
Epoch 157, Loss: 0.5351843237876892
Epoch 158, Loss: 0.5397608280181885
Epoch 159, Loss: 0.5311313271522522
Epoch 160, Loss: 0.5242805480957031
Epoch 161, Loss: 0.5393572449684143
Epoch 162, Loss: 0.5401192307472229
Epoch 163, Loss: 0.54734206199646
Epoch 164, Loss: 0.5345465540885925
Epoch 165, Loss: 0.5345034003257751
Epoch 166, Loss: 0.5356101393699646
Epoch 167, Loss: 0.511789083480835
Epoch 168, Loss: 0.5576496124267578
Epoch 169, Loss: 0.5270003080368042
Epoch 170, Loss: 0.5347916483879089
Epoch 171, Loss: 0.5250774621963501
Epoch 172, Loss: 0.5243580341339111
Epoch 173, Loss: 0.532484769821167
Epoch 174, Loss: 0.5172353386878967
Epoch 175, Loss: 0.520262598991394
Epoch 176, Loss: 0.5193763971328735
Epoch 177, Loss: 0.5247580409049988
Epoch 178, Loss: 0.5053027868270874
Epoch 179, Loss: 0.5165334343910217
Epoch 180, Loss: 0.5123329162597656
Epoch 181, Loss: 0.5123014450073242
Epoch 182, Loss: 0.5066347122192383
Epoch 183, Loss: 0.5185710787773132
Epoch 184, Loss: 0.5392071008682251
Epoch 185, Loss: 0.5109561085700989
Epoch 186, Loss: 0.5276135802268982
Epoch 187, Loss: 0.5000226497650146
Epoch 188, Loss: 0.514765202999115
Epoch 189, Loss: 0.5052611231803894
Epoch 190, Loss: 0.503709077835083
Epoch 191, Loss: 0.49519240856170654
Epoch 192, Loss: 0.5102698802947998
Epoch 193, Loss: 0.5004933476448059
Epoch 194, Loss: 0.5039740204811096
Epoch 195, Loss: 0.497295081615448
Epoch 196, Loss: 0.4891500174999237
Epoch 197, Loss: 0.5103427171707153
Epoch 198, Loss: 0.492269903421402
Epoch 199, Loss: 0.5039076209068298
Epoch 200, Loss: 0.4949537217617035
Seed: 42
Dataset: AmazonComputers
Model: gcn
